Year,Sea surface temperature anomaly,Ten year rolling average
1900,-0.16,0
1901,-0.28,0
1902,-0.96,0
1903,-0.56,0
1904,-0.75,0
1905,-0.93,0
1906,-0.48,0
1907,-0.21,0
1908,-0.31,0
1909,-0.31,-0.5
1910,-0.25,-0.5
1911,-0.65,-0.54
1912,-0.63,-0.51
1913,-0.52,-0.5
1914,-0.65,-0.49
1915,-0.18,-0.42
1916,-0.06,-0.38
1917,-0.29,-0.39
1918,-0.52,-0.41
1919,-0.69,-0.44
1920,-0.52,-0.47
1921,-0.34,-0.44
1922,-0.28,-0.41
1923,-0.39,-0.39
1924,-0.09,-0.34
1925,-0.74,-0.39
1926,-0.24,-0.41
1927,-0.21,-0.4
1928,-0.1,-0.36
1929,-0.28,-0.32
1930,-0.73,-0.34
1931,-0.16,-0.32
1932,-0.35,-0.33
1933,-0.23,-0.31
1934,-0.29,-0.33
1935,-0.17,-0.28
1936,-0.21,-0.27
1937,-0.24,-0.28
1938,0.09,-0.26
1939,-0.25,-0.25
1940,-0.42,-0.22
1941,-0.44,-0.25
1942,0.1,-0.21
1943,0.37,-0.15
1944,0.15,-0.1
1945,0.13,-0.07
1946,-0.2,-0.07
1947,-0.4,-0.09
1948,-0.31,-0.13
1949,-0.49,-0.15
1950,-0.16,-0.13
1951,-0.34,-0.12
1952,-0.22,-0.15
1953,-0.17,-0.2
1954,-0.28,-0.24
1955,-0.21,-0.28
1956,0.07,-0.25
1957,-0.3,-0.24
1958,-0.09,-0.22
1959,-0.21,-0.19
1960,-0.15,-0.19
1961,-0.24,-0.18
1962,0.07,-0.15
1963,-0.04,-0.14
1964,-0.01,-0.11
1965,-0.63,-0.15
1966,-0.48,-0.21
1967,-0.18,-0.2
1968,0,-0.19
1969,0.14,-0.15
1970,0.26,-0.11
1971,0.2,-0.07
1972,-0.17,-0.09
1973,0.44,-0.04
1974,0.12,-0.03
1975,0.12,0.05
1976,-0.04,0.09
1977,-0.13,0.09
1978,-0.1,0.08
1979,-0.06,0.06
1980,-0.03,0.04
1981,0.11,0.03
1982,-0.19,0.02
1983,-0.01,-0.02
1984,0.06,-0.03
1985,0.13,-0.03
1986,0.14,-0.01
1987,-0.15,-0.01
1988,0.33,0.03
1989,0.18,0.06
1990,0.18,0.08
1991,-0.01,0.07
1992,-0.12,0.07
1993,-0.3,0.04
1994,-0.15,0.02
1995,0.34,0.04
1996,0.41,0.07
1997,-0.06,0.08
1998,0.62,0.11
1999,0.33,0.12
2000,0.25,0.13
2001,0.46,0.18
2002,0.48,0.24
2003,0.45,0.31
2004,0.42,0.37
2005,0.52,0.39
2006,0.23,0.37
2007,0.35,0.41
2008,0.32,0.38
2009,0.43,0.39
2010,0.58,0.42
2011,0.4,0.42
2012,0.3,0.4
2013,0.39,0.39
2014,0.41,0.39
2015,0.35,0.38
